hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,88.8848,89.3685,,,,,,,,,,,,0,f,w61.png,,,,,,89.3686,92.5162,f,1,3.0814,,0,17,17,50,1,filler_假詞,,,呆膽,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,92.5217,93.0119,,,,,,,,,,,su-uî,1,j,w32.png,,,,,,93.012,94.4916,j,1,1.421,,0,18,18,25,1,實驗材料,低,懸,思維,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,94.4918,94.9915,,,,,,,,,,,,0,f,w82.png,,,,,,94.9916,96.6483,f,1,1.6076,,0,19,19,71,1,filler_假詞,,,食轉,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,96.6484,97.1415,,,,,,,,,,,kiù-miā,1,j,w26.png,,,,,,97.1416,98.3483,j,1,1.1411,,0,20,20,21,1,實驗材料,懸,低,救命,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,98.3484,98.8416,,,,,,,,,,,tshit-thô,1,j,w41.png,,,,,,98.8417,100.8979,j,1,1.9906,,0,21,21,32,1,filler_純台語詞,,,𨑨迌,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,100.898,101.3955,,,,,,,,,,,iông-kuàn,1,j,w15.png,,,,,,101.3957,102.7493,f,0,1.291,,0,22,22,12,1,實驗材料,低,低,融券,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,102.7495,103.235,,,,,,,,,,,,0,f,w57.png,,,,,,103.2352,105.8482,f,1,2.5471,,0,23,23,46,1,filler_假詞,,,老失,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,105.854,106.3521,,,,,,,,,,,,0,f,w67.png,,,,,,106.3522,108.3331,f,1,1.9429,,0,24,24,56,1,filler_假詞,,,出措,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,108.3333,108.8182,,,,,,,,,,,,0,f,w71.png,,,,,,108.8184,110.2977,f,1,1.4069,,0,25,25,60,1,filler_假詞,,,力巧,,
,,,,,528911pei,女,34,0,2026-05-01_03h20.26.675,ldt,2025.1.1,Win32,60.0024001,IwY2xjawRgilVleHRuA2FlbQIxMABicmlkETFUbjY2eWtSNEtTb0lqbXRuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmVu7yvi9UrkDWg2uyq4Z5zmFuZ74E65hovw6kbFV-Pz0yYHjHJ6J1ox6JV5_aem_OtTPW7MxBmXobSNkKOVcWQ,,,,,,110.2979,110.7915,,,,,,,,,,,hâng-ūn,1,j,w17.png,,,,,,110.7917,113.4325,j,1,2.5742,,0,26,26,14,1,實驗材料,低,低,航運,,
