hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,234.755,235.255,,,,,,,,,tshut-khì,1,j,w6.png,,,,,,235.2559,236.3897,j,1,1.0787,,0,61,61,5,1,實驗材料,懸,懸,出去,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,236.3912,236.8898,,,,,,,,,,0,f,w78.png,,,,,,236.8907,237.924,f,1,1.0076,,0,62,62,67,1,filler_假詞,,,假闊,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,237.9249,238.4245,,,,,,,,,bân-phuê/bân-phê ,1,j,w42.png,,,,,,238.4254,239.3898,j,1,0.9152,,0,63,63,33,1,filler_純台語詞,,,蠻皮,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,239.3904,239.8882,,,,,,,,,,0,f,w84.png,,,,,,239.8895,240.7911,f,1,0.8219,,0,64,64,73,1,filler_假詞,,,川角,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,240.7916,241.2894,,,,,,,,,,0,f,w56.png,,,,,,241.2905,242.3254,f,1,0.9701,,0,65,65,45,1,filler_假詞,,,心果,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,242.3267,242.825,,,,,,,,,su-uî,1,j,w32.png,,,,,,242.8261,243.7962,j,1,0.9145,,0,66,66,25,1,實驗材料,低,懸,思維,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,243.7973,244.2966,,,,,,,,,king-siau,1,j,w12.png,,,,,,244.2978,245.1818,j,1,0.8284,,0,67,67,9,1,實驗材料,低,低,經銷,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,245.1835,245.6816,,,,,,,,,uî-pio,1,j,w13.png,,,,,,245.6835,246.5508,j,1,0.8001,,0,68,68,10,1,實驗材料,低,低,圍標,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,246.5517,247.049,,,,,,,,,,0,f,w88.png,,,,,,247.0503,248.0851,f,1,0.9638,,0,69,69,77,1,filler_假詞,,,了物,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,248.086,248.5798,,,,,,,,,,0,f,w77.png,,,,,,248.5815,249.7349,f,1,1.0753,,0,70,70,66,1,filler_假詞,,,土悲,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,249.7359,250.2352,,,,,,,,,,0,f,w66.png,,,,,,250.2364,251.4916,f,1,1.2003,,0,71,71,55,1,filler_假詞,,,冒張,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,251.4921,251.9876,,,,,,,,,,0,f,w59.png,,,,,,251.9897,253.138,f,1,1.0648,,0,72,72,48,1,filler_假詞,,,貓快,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,253.139,253.6385,,,,,,,,,guân-lâi,1,j,w5.png,,,,,,253.6396,254.5393,j,1,0.8476,,0,73,73,4,1,實驗材料,懸,懸,原來,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,254.5407,255.0402,,,,,,,,,i-kì/i-kù,1,j,w33.png,,,,,,255.0419,256.0906,j,1,0.9762,,0,74,74,26,1,實驗材料,低,懸,依據,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,256.0918,256.5913,,,,,,,,,tsi-hù,1,j,w37.png,,,,,,256.5923,257.8394,j,1,1.1893,,0,75,75,30,1,實驗材料,低,懸,支付,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,257.8399,258.338,,,,,,,,,kuè--lâi,1,j,w8.png,,,,,,258.3391,259.1402,j,1,0.7352,,0,76,76,7,1,實驗材料,懸,懸,過來,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,259.1406,259.6402,,,,,,,,,gāi-gio̍h,1,j,w43.png,,,,,,259.642,260.8119,j,1,1.1062,,0,77,77,34,1,filler_純台語詞,,,礙虐,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,260.8129,261.3122,,,,,,,,,hôo-sîn,1,j,w47.png,,,,,,261.3136,262.4098,j,1,1.04,,0,78,78,38,1,filler_純台語詞,,,胡蠅,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,262.4106,262.91,,,,,,,,,hâng-ūn,1,j,w17.png,,,,,,262.9112,263.8447,j,1,0.884,,0,79,79,14,1,實驗材料,低,低,航運,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.8453,264.8493
