hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,practrial.rt,practrial.duration,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,86.041,86.5363,,,,,,,,,,0,f,w86.png,,,,,,,,86.5367,88.9918,f,1,2.3512,,0,13,13,75,1,filler_假詞,,,涼層,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,88.9922,89.4888,,,,,,,,,,0,f,w63.png,,,,,,,,89.4891,90.4406,j,0,0.8515,,0,14,14,52,1,filler_假詞,,,語情,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,90.441,90.9344,,,,,,,,,,0,f,w70.png,,,,,,,,90.9347,93.5037,j,0,2.4691,,0,15,15,59,1,filler_假詞,,,年指,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,93.504,93.9954,,,,,,,,,,0,f,w82.png,,,,,,,,93.9957,95.7999,j,0,1.7043,,0,16,16,71,1,filler_假詞,,,食轉,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,95.8005,96.2869,,,,,,,,,huâinn-ti̍t/huînn-ti̍t,1,j,w48.png,,,,,,,,96.2873,97.2383,j,1,0.8521,,0,17,17,39,1,filler_純台語詞,,,橫直,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,97.2388,97.729,,,,,,,,,,0,f,w59.png,,,,,,,,97.7293,99.7817,f,1,1.9507,,0,18,18,48,1,filler_假詞,,,貓快,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,99.7821,100.275,,,,,,,,,siu-thiann,1,j,w21.png,,,,,,,,100.2756,101.2452,j,1,0.8653,,0,19,19,16,1,實驗材料,懸,低,收聽,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,101.2456,101.7371,,,,,,,,,,0,f,w83.png,,,,,,,,101.7374,103.5441,f,1,1.7064,,0,20,20,72,1,filler_假詞,,,流棲,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,103.5445,104.0374,,,,,,,,,,0,f,w80.png,,,,,,,,104.0377,105.2851,f,1,1.1689,,0,21,21,69,1,filler_假詞,,,煮配,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,105.2855,105.7768,,,,,,,,,,0,f,w75.png,,,,,,,,105.7771,107.1779,f,1,1.2982,,0,22,22,64,1,filler_假詞,,,野吉,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,107.1784,107.6698,,,,,,,,,,0,f,w77.png,,,,,,,,107.6702,108.5731,f,1,0.8033,,0,23,23,66,1,filler_假詞,,,土悲,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,108.5733,109.0718,,,,,,,,,,0,f,w74.png,,,,,,,,109.0723,111.43,f,1,2.2708,,0,24,24,63,1,filler_假詞,,,動夜,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,111.4306,111.9314,,,,,,,,,tsâi-bū,1,j,w35.png,,,,,,,,111.9317,112.7031,j,1,0.7125,,0,25,25,28,1,實驗材料,低,懸,財務,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,112.7036,113.191,,,,,,,,,khòng-sòo,1,j,w18.png,,,,,,,,113.1922,113.9699,j,1,0.6758,,0,26,26,15,1,實驗材料,低,低,控訴,,
