hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,118.6721,119.1714,,,,,,,,,,0,f,w74.png,,,,,,119.1723,124.1713,,0,0,13,13,63,1,filler_假詞,,,動夜,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,124.1721,124.6718,,,,,,,,,,0,f,w56.png,,,,,,124.6726,129.6717,,0,0,14,14,45,1,filler_假詞,,,心果,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,129.6734,130.1712,,,,,,,,,,0,f,w61.png,,,,,,130.1724,135.1714,,0,0,15,15,50,1,filler_假詞,,,呆膽,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,135.1721,135.6714,,,,,,,,,bú-gí/bú-gú,1,j,w23.png,,,,,,135.6725,140.6806,,0,0,16,16,18,1,實驗材料,懸,低,母語,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,140.6815,141.1715,,,,,,,,,hâng-ūn,1,j,w17.png,,,,,,141.1726,146.1712,,0,0,17,17,14,1,實驗材料,低,低,航運,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,146.172,146.6713,,,,,,,,,,0,f,w71.png,,,,,,146.6721,151.6717,,0,0,18,18,60,1,filler_假詞,,,力巧,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,151.6727,152.1749,,,,,,,,,,0,f,w73.png,,,,,,152.1756,157.1792,,0,0,19,19,62,1,filler_假詞,,,腹伏,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,157.1799,157.6803,,,,,,,,,,0,f,w78.png,,,,,,157.681,162.6748,,0,0,20,20,67,1,filler_假詞,,,假闊,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,162.6754,163.1638,,,,,,,,,,0,f,w55.png,,,,,,163.1645,168.1713,,0,0,21,21,44,1,filler_假詞,,,苦碗,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,168.1721,168.6714,,,,,,,,,hāu-senn/hāu-sinn,1,j,w45.png,,,,,,168.6722,173.6712,,0,0,22,22,36,1,filler_純台語詞,,,後生,,
