hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,trialkeyboard.rt,trialkeyboard.duration,thanksroutine.started,thanksroutine.stopped
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,137.5143,138.0145,,,,,,,,,,0,f,w86.png,,,,,,138.0147,143.0027,,0,0,15,15,75,1,filler_假詞,,,涼層,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,143.003,143.5033,,,,,,,,,tsha-ī,1,j,w34.png,,,,,,143.5035,148.508,,0,0,16,16,27,1,實驗材料,低,懸,差異,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,148.5082,149.009,,,,,,,,,kíng-tsìng,1,j,w16.png,,,,,,149.0092,154.014,,0,0,17,17,13,1,實驗材料,低,低,警政,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,154.0142,154.5144,,,,,,,,,bân-phuê/bân-phê ,1,j,w42.png,,,,,,154.5147,159.5027,,0,0,18,18,33,1,filler_純台語詞,,,蠻皮,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,159.5032,160.0031,,,,,,,,,bú-gí/bú-gú,1,j,w23.png,,,,,,160.0033,165.0078,,0,0,19,19,18,1,實驗材料,懸,低,母語,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,165.008,165.5084,,,,,,,,,,0,f,w87.png,,,,,,165.509,170.5142,,0,0,20,20,76,1,filler_假詞,,,大無,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,170.5143,171.0151,,,,,,,,,,0,f,w79.png,,,,,,171.0155,176.0026,,0,0,21,21,68,1,filler_假詞,,,熱條,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,176.0027,176.5031,,,,,,,,,khòng-sòo,1,j,w18.png,,,,,,176.5033,181.5079,,0,0,22,22,15,1,實驗材料,低,低,控訴,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,181.5081,182.0085,,,,,,,,,,0,f,w51.png,,,,,,182.0087,187.0142,,0,0,23,23,40,1,filler_假詞,,,線瓜,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,187.0144,187.5138,,,,,,,,,,0,f,w85.png,,,,,,187.5143,192.5191,,0,0,24,24,74,1,filler_假詞,,,素鼠,,,,
