hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,81.1447,81.6438,,,,,,,,,,,,0,f,w81.png,,,,,,81.6441,83.2107,f,1,1.5368,,0,13,13,70,1,filler_假詞,,,部斑
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,83.2112,83.7106,,,,,,,,,,,i-kì/i-kù,1,j,w33.png,,,,,,83.7111,85.0773,j,1,1.3328,,0,14,14,26,1,實驗材料,低,懸,依據
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,85.0777,85.5767,,,,,,,,,,,,0,f,w78.png,,,,,,85.5771,89.2607,j,0,3.6466,,0,15,15,67,1,filler_假詞,,,假闊
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,89.261,89.7607,,,,,,,,,,,,0,f,w58.png,,,,,,89.7611,91.8941,f,1,2.0988,,0,16,16,47,1,filler_假詞,,,輕牛
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,91.8946,92.3937,,,,,,,,,,,kóng-huat,1,j,w28.png,,,,,,92.3941,93.9596,j,1,1.5201,,0,17,17,23,1,實驗材料,懸,低,講法
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,93.9598,94.4606,,,,,,,,,,,kiù-miā,1,j,w26.png,,,,,,94.4613,96.0606,j,1,1.5706,,0,18,18,21,1,實驗材料,懸,低,救命
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,96.061,96.5606,,,,,,,,,,,,0,f,w68.png,,,,,,96.5611,99.0272,f,1,2.442,,0,19,19,57,1,filler_假詞,,,變縱
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,99.0275,99.5273,,,,,,,,,,,,0,f,w85.png,,,,,,99.5278,101.2772,f,1,1.7257,,0,20,20,74,1,filler_假詞,,,素鼠
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,101.2776,101.7773,,,,,,,,,,,,0,f,w73.png,,,,,,101.7779,104.5773,f,1,2.7667,,0,21,21,62,1,filler_假詞,,,腹伏
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,104.5777,105.0772,,,,,,,,,,,su-uî,1,j,w32.png,,,,,,105.0777,106.4596,j,1,1.3532,,0,22,22,25,1,實驗材料,低,懸,思維
